"","X","City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal"
"3764",3881,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","GULLOCK, Gary","Men","AUS","Australia","M","Silver"
"3765",3882,"Los Angeles",1984,"Rowing","Rowing","coxless pair (2-)","LASURTEGUI BERRIDI, Luis Maria","Men","ESP","Spain","M","Silver"
"3766",3883,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","MIHALY, Aneta","Women","ROU","Romania","W","Silver"
"3767",3884,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","HORN, Blair J.H.","Men","CAN","Canada","M","Gold"
"3768",3885,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","APOSTOL, Chira","Women","ROU","Romania","W","Gold"
"3769",3886,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","LUBSEN, Walter Harry Jr.","Men","USA","United States","M","Silver"
"3770",3887,"Los Angeles",1984,"Rowing","Rowing","pair without coxswain (2-)","OPREA-HORVAT, Elena","Women","ROU","Romania","W","Gold"
"3771",3888,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","MAIN, Gerald Grant","Men","CAN","Canada","M","Gold"
"3772",3889,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","PATTEN, Samuel","Men","AUS","Australia","M","Bronze"
"3773",3890,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","BUDGETT, Richard Gordon M.","Men","GBR","United Kingdom","M","Gold"
"3774",3891,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","KOEFOED, Inger Charlotte","Women","DEN","Denmark","W","Bronze"
"3775",3892,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","HELLEMANS, Nicolette","Women","NED","Netherlands","W","Silver"
"3776",3893,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","EVANS, Stephen","Men","AUS","Australia","M","Bronze"
"3777",3894,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","CORBAN, Sofia","Women","ROU","Romania","W","Gold"
"3778",3895,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","DELOOF, Pierre Marie","Men","BEL","Belgium","M","Silver"
"3779",3896,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","PENNY, Christopher Gore","Men","USA","United States","M","Silver"
"3780",3897,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","EVANS, Mark","Men","CAN","Canada","M","Gold"
"3781",3898,"Los Angeles",1984,"Rowing","Rowing","single sculls (1x)","HAESEBROUCK, Ann","Women","BEL","Belgium","W","Bronze"
"3782",3899,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","HELLEMANS, Greet","Women","NED","Netherlands","W","Bronze"
"3783",3900,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","SORENSEN, Jette Hejli","Women","DEN","Denmark","W","Bronze"
"3784",3901,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","ARMBRUST, Barbara","Women","CAN","Canada","W","Silver"
"3785",3902,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","STANULOV, Milorad","Men","YUG","Yugoslavia","M","Bronze"
"3786",3903,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","ESPESETH, Robert Douglas, Jr.","Men","USA","United States","M","Bronze"
"3787",3904,"Los Angeles",1984,"Rowing","Rowing","single sculls (1x)","KOLBE, Peter-Michael","Men","FRG","West Germany","M","Silver"
"3788",3905,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","MABBOTT, Barrie","Men","NZL","New Zealand","M","Bronze"
"3789",3906,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","SYMON, Donald","Men","NZL","New Zealand","M","Bronze"
"3790",3907,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","HELLEMANS, Greet","Women","NED","Netherlands","W","Silver"
"3791",3908,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","CLARK, David Robert","Men","USA","United States","M","Silver"
"3792",3909,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","HOMEGHI-BULARDA, Olga","Women","ROU","Romania","W","Gold"
"3793",3910,"Los Angeles",1984,"Rowing","Rowing","single sculls (1x)","KARPPINEN, Pertti","Men","FIN","Finland","M","Gold"
"3794",3911,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","CLAPP, Charles Elmer III.","Men","USA","United States","M","Silver"
"3795",3912,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","TONG, Ross","Men","NZL","New Zealand","M","Bronze"
"3796",3913,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","SPRINGER, Gregory T.","Men","USA","United States","M","Silver"
"3797",3914,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","RASMUSSEN, Per","Men","DEN","Denmark","M","Bronze"
"3798",3915,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","CHAPMAN-POPA, Susan","Women","AUS","Australia","W","Bronze"
"3799",3916,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","HUGHES, Michael","Men","CAN","Canada","M","Bronze"
"3800",3917,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","CHRISTIANSEN, Erik","Men","DEN","Denmark","M","Bronze"
"3801",3918,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","THOMPSON, Lesley Allison","Women","CAN","Canada","W","Silver"
"3802",3919,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","TARAN, Titie","Women","ROU","Romania","W","Gold"
"3803",3920,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","MARDEN, Anne R.","Women","USA","United States","W","Silver"
"3804",3921,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","RASMUSSEN, Bodil Steen","Women","DEN","Denmark","W","Bronze"
"3805",3922,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","ELLISON, Adrian Charles","Men","GBR","United Kingdom","M","Gold"
"3806",3923,"Los Angeles",1984,"Rowing","Rowing","pair without coxswain (2-)","CRAIG, Elizabeth","Women","CAN","Canada","W","Silver"
"3807",3924,"Los Angeles",1984,"Rowing","Rowing","coxless pair (2-)","GREPPERUD, Hans Magnus","Men","NOR","Norway","M","Bronze"
"3808",3925,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","FOSTER, Margot","Women","AUS","Australia","W","Bronze"
"3809",3926,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","QUIST, Anne-Marie","Women","NED","Netherlands","W","Bronze"
"3810",3927,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","EDMUNDS, Ian","Men","AUS","Australia","M","Bronze"
"3811",3928,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","STEKL, Philip William","Men","USA","United States","M","Silver"
"3812",3929,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","O'CONNELL, Leslie","Men","NZL","New Zealand","M","Gold"
"3813",3930,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","ABBAGNALE, Carmine","Men","ITA","Italy","M","Gold"
"3814",3931,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","LAUMANN, Silken Suzette","Women","CAN","Canada","W","Bronze"
"3815",3932,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","BRANCOURT-POLLOCK, Karen","Women","AUS","Australia","W","Bronze"
"3816",3933,"Los Angeles",1984,"Rowing","Rowing","coxless pair (2-)","LOKEN, Sverre Bertrand","Men","NOR","Norway","M","Bronze"
"3817",3934,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","TOMOIAGA, Vasile","Men","ROU","Romania","M","Silver"
"3818",3935,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","LIPA, Elisabeta","Women","ROU","Romania","W","Gold"
"3819",3936,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","VAN DROGENBROEK, Marieke","Women","NED","Netherlands","W","Bronze"
"3820",3937,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","BORCHERT, Earl Frederick","Men","USA","United States","M","Silver"
"3821",3938,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","JAUGSTETTER, Robert C.","Men","USA","United States","M","Silver"
"3822",3939,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","HELLEMANS, Nicolette","Women","NED","Netherlands","W","Bronze"
"3823",3940,"Los Angeles",1984,"Rowing","Rowing","coxless pair (2-)","CLIMENT HUERTA, Fernando","Men","ESP","Spain","M","Silver"
"3824",3941,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","LIND, Joan Louise","Women","USA","United States","W","Silver"
"3825",3942,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","SAUCA, Lucia","Women","ROU","Romania","W","Silver"
"3826",3943,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","RADUCANU, Dumitru","Men","ROU","Romania","M","Silver"
"3827",3944,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","VAN ETTEKOVEN, Harriet","Women","NED","Netherlands","W","Bronze"
"3828",3945,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","HEFER, Clyde","Men","AUS","Australia","M","Bronze"
"3829",3946,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","LAUMANN, Daniele","Women","CAN","Canada","W","Bronze"
"3830",3947,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","NEELISSEN, Catalien","Women","NED","Netherlands","W","Bronze"
"3831",3948,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","FORD, Bruce","Men","CAN","Canada","M","Bronze"
"3832",3949,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","POPESCU, Marioara","Women","ROU","Romania","W","Gold"
"3833",3950,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","SCHNEIDER, Angela","Women","CAN","Canada","W","Silver"
"3834",3951,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","BALAN-SNEP, Doina Lilian","Women","ROU","Romania","W","Silver"
"3835",3952,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","MCMAHON, Robert Brian","Men","CAN","Canada","M","Gold"
"3836",3953,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","IVES, Edward Ashley","Men","USA","United States","M","Silver"
"3837",3954,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","DARLING, Thomas Ward","Men","USA","United States","M","Silver"
"3838",3955,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","REEDY, Paul","Men","AUS","Australia","M","Silver"
"3839",3956,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","SMITH, Jonathan S.","Men","USA","United States","M","Silver"
"3840",3957,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","HERLAND, Douglas John","Men","USA","United States","M","Bronze"
"3841",3958,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","NORELIUS, Kristine Lee","Women","USA","United States","W","Gold"
"3842",3959,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","TRASK, Keith","Men","NZL","New Zealand","M","Gold"
"3843",3960,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","FLANAGAN, Jeanne Ann","Women","USA","United States","W","Gold"
"3844",3961,"Los Angeles",1984,"Rowing","Rowing","pair without coxswain (2-)","SMITH, Patricia","Women","CAN","Canada","W","Silver"
"3845",3962,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","ABBAGNALE, Giuseppe","Men","ITA","Italy","M","Gold"
"3846",3963,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","MULLER, Craig","Men","AUS","Australia","M","Bronze"
"3847",3964,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","HOLMES, Andrew John","Men","GBR","United Kingdom","M","Gold"
"3848",3965,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","BATTERSBY, James","Men","AUS","Australia","M","Bronze"
"3849",3966,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","LEE, Susan","Women","AUS","Australia","W","Bronze"
"3850",3967,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","O'Brien, Shane","Men","NZL","New Zealand","M","Gold"
"3851",3968,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","TANASA-FRICIOIU, Maria","Women","ROU","Romania","W","Gold"
"3852",3969,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","MCLAREN, Timothy","Men","AUS","Australia","M","Silver"
"3853",3970,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","ROHDE, Lisa Diane","Women","USA","United States","W","Silver"
"3854",3971,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","PANCIC, Zoran","Men","YUG","Yugoslavia","M","Bronze"
"3855",3972,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","FORNEY, Alan Michael","Men","USA","United States","M","Silver"
"3856",3973,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","HAMILTON, Douglas","Men","CAN","Canada","M","Bronze"
"3857",3974,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","BACH, Michael","Men","USA","United States","M","Silver"
"3858",3975,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","TERWILLIGER, John Richard","Men","USA","United States","M","Silver"
"3859",3976,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","RICKON, Kelly Anne","Women","USA","United States","W","Silver"
"3860",3977,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","TRASCA, Marioara","Women","ROU","Romania","W","Silver"
"3861",3978,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","IBBETSON, Bruce Bernard","Men","USA","United States","M","Silver"
"3862",3979,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","HOLLISTER, Brett","Men","NZL","New Zealand","M","Bronze"
"3863",3980,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","CORNET, Lynda","Women","NED","Netherlands","W","Bronze"
"3864",3981,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","EVANS, Michael","Men","CAN","Canada","M","Gold"
"3865",3982,"Los Angeles",1984,"Rowing","Rowing","single sculls (1x)","MILLS, Robert","Men","CAN","Canada","M","Bronze"
"3866",3983,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","MONCKTON, Philip","Men","CAN","Canada","M","Bronze"
"3867",3984,"Los Angeles",1984,"Rowing","Rowing","single sculls (1x)","GEER, Charlotte Mosher","Women","USA","United States","W","Silver"
"3868",3985,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","DIACONESCU, Camelia","Women","ROU","Romania","W","Silver"
"3869",3986,"Los Angeles",1984,"Rowing","Rowing","coxless pair (2-)","IOSUB, Petru","Men","ROU","Romania","M","Gold"
"3870",3987,"Los Angeles",1984,"Rowing","Rowing","single sculls (1x)","ROSCA-RASILA, Valeria","Women","ROU","Romania","W","Gold"
"3871",3988,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","POPA, Ion","Men","AUS","Australia","M","Bronze"
"3872",3989,"Los Angeles",1984,"Rowing","Rowing","pair without coxswain (2-)","PUSCATU-ARBA, Rodica","Women","ROU","Romania","W","Gold"
"3873",3990,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","WIEDENMANN, Dieter","Men","FRG","West Germany","M","Gold"
"3874",3991,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","GRAVES, Carolyn Brand","Women","USA","United States","W","Gold"
"3875",3992,"Los Angeles",1984,"Rowing","Rowing","pair without coxswain (2-)","VOLKNER, Iris","Women","FRG","West Germany","W","Bronze"
"3876",3993,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","SOROHAN-MINEA, Anisoara","Women","ROU","Romania","W","Gold"
"3877",3994,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","LOVRICH, Anthony","Men","AUS","Australia","M","Silver"
"3878",3995,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","KIEFER, Thomas Nisbit","Men","USA","United States","M","Silver"
"3879",3996,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","HEDDERICH, Albert","Men","FRG","West Germany","M","Gold"
"3880",3997,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","OANCIA, Ecaterina","Women","ROU","Romania","W","Gold"
"3881",3998,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","LAWTON, Kevin","Men","NZL","New Zealand","M","Bronze"
"3882",3999,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","CRAWFORD, Dean","Men","CAN","Canada","M","Gold"
"3883",4000,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","BEARD, Elizabeth Ann","Women","USA","United States","W","Gold"
"3884",4001,"Los Angeles",1984,"Rowing","Rowing","pair without coxswain (2-)","BECKER, Ellen","Women","FRG","West Germany","W","Bronze"
"3885",4002,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","GREY-GARDNER, Robyn","Women","AUS","Australia","W","Bronze"
"3886",4003,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","STEELE, Paul","Men","CAN","Canada","M","Gold"
"3887",4004,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","NEUFELD, Kevin","Men","CAN","Canada","M","Gold"
"3888",4005,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","LAURIJSEN, Martha","Women","NED","Netherlands","W","Bronze"
"3889",4006,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","LEWIS, Bradley Alan","Men","USA","United States","M","Gold"
"3890",4007,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","POPESCU, Dimitrie","Men","ROU","Romania","M","Silver"
"3891",4008,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","ENQUIST, Paul N.","Men","USA","United States","M","Gold"
"3892",4009,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","TURNER, Patrick","Men","CAN","Canada","M","Gold"
"3893",4010,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","LAVRIC, Florica","Women","ROU","Romania","W","Gold"
"3894",4011,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","DURSCH, Michael","Men","FRG","West Germany","M","Gold"
"3895",4012,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","JESSEN, Michael","Men","DEN","Denmark","M","Bronze"
"3896",4013,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","THORSSNESS, Kristen Joy","Women","USA","United States","W","Gold"
"3897",4014,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","IOJA, Viorica","Women","ROU","Romania","W","Silver"
"3898",4015,"Los Angeles",1984,"Rowing","Rowing","coxless pair (2-)","TOMA, Valer","Men","ROU","Romania","M","Gold"
"3899",4016,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","BADEA, Ioana","Women","ROU","Romania","W","Gold"
"3900",4017,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","VAANDRAGER, Willemientje","Women","NED","Netherlands","W","Bronze"
"3901",4018,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","PLESCA, Aurora","Women","ROU","Romania","W","Silver"
"3902",4019,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","ARMASESCU, Mihaela","Women","ROU","Romania","W","Silver"
"3903",4020,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","BRAIN, Marilyn","Women","CAN","Canada","W","Silver"
"3904",4021,"Los Angeles",1984,"Rowing","Rowing","double sculls (2x)","CROIS, Dirk","Men","BEL","Belgium","M","Silver"
"3905",4022,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","THREDGOLD, Gavin","Men","AUS","Australia","M","Bronze"
"3906",4023,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","IOJA, Viorica","Women","ROU","Romania","W","Gold"
"3907",4024,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls without coxswain (4x)","HORMANN, Raimund","Men","FRG","West Germany","M","Gold"
"3908",4025,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","O'STEEN, Shyril","Women","USA","United States","W","Gold"
"3909",4026,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","KEELER, Kathryn Elliott","Women","USA","United States","W","Gold"
"3910",4027,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","BAZON, Adriana","Women","ROU","Romania","W","Silver"
"3911",4028,"Los Angeles",1984,"Rowing","Rowing","quadruple sculls with coxswain (4x)","GILDER, Virginia Marie","Women","USA","United States","W","Silver"
"3912",4029,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","SUDDUTH, Andrew Hancock","Men","USA","United States","M","Silver"
"3913",4030,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","STILLINGS, John Stuart","Men","USA","United States","M","Silver"
"3914",4031,"Los Angeles",1984,"Rowing","Rowing","four without coxswain (4-)","NIELSEN, Lars","Men","DEN","Denmark","M","Bronze"
"3915",4032,"Los Angeles",1984,"Rowing","Rowing","eight with coxswain (8+)","WILLOUGHBY, Timothy","Men","AUS","Australia","M","Bronze"
"3916",4033,"Los Angeles",1984,"Rowing","Rowing","pair-oared shell with coxswain (2+)","DI CAPUA, Giuseppe","Men","ITA","Italy","M","Gold"
"3917",4034,"Los Angeles",1984,"Rowing","Rowing","four-oared shell with coxswain (4-)","TREGUNNO, Jane","Women","CAN","Canada","W","Silver"
"3918",4035,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","FOGH, Hans Marius","Men","CAN","Canada","X","Bronze"
"3919",4036,"Los Angeles",1984,"Sailing","Sailing","Tornado - Multihull","SMYTH, Randy","Men","USA","United States","X","Silver"
"3920",4037,"Los Angeles",1984,"Sailing","Sailing","Tornado - Multihull","ANDERSON, John Scott","Men","AUS","Australia","X","Bronze"
"3921",4038,"Los Angeles",1984,"Sailing","Sailing","flying dutchman","MCKEE, Jonathan Dunn","Men","USA","United States","X","Gold"
"3922",4039,"Los Angeles",1984,"Sailing","Sailing","470 - Two Person Dinghy","STEINFELD, Hans Christopher","Men","USA","United States","M","Silver"
"3923",4040,"Los Angeles",1984,"Sailing","Sailing","two-person keelboat open (Star)","ERICKSON, Steven Richard","Men","USA","United States","X","Gold"
"3924",4041,"Los Angeles",1984,"Sailing","Sailing","470 - Two Person Dinghy","PILLOT, Luc","Men","FRA","France","M","Bronze"
"3925",4042,"Los Angeles",1984,"Sailing","Sailing","board (windglider)","VAN DEN BERG, Stephan","Men","NED","Netherlands","M","Gold"
"3926",4043,"Los Angeles",1984,"Sailing","Sailing","two-person keelboat open (Star)","PERABONI, Alfio","Men","ITA","Italy","X","Bronze"
"3927",4044,"Los Angeles",1984,"Sailing","Sailing","board (windglider)","KENDALL, Anthony Bruce","Men","NZL","New Zealand","M","Bronze"
"3928",4045,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","ADLER, Daniel","Men","BRA","Brazil","X","Silver"
"3929",4046,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","DAVIS, Roderick Hopkins","Men","USA","United States","X","Gold"
"3930",4047,"Los Angeles",1984,"Sailing","Sailing","single-handed dinghy (Finn)","NEILSON, Terence","Men","CAN","Canada","M","Bronze"
"3931",4048,"Los Angeles",1984,"Sailing","Sailing","Tornado - Multihull","TIMMS, Christopher","Men","NZL","New Zealand","X","Gold"
"3932",4049,"Los Angeles",1984,"Sailing","Sailing","flying dutchman","ALLAM, Peter Frank","Men","GBR","United Kingdom","X","Bronze"
"3933",4050,"Los Angeles",1984,"Sailing","Sailing","two-person keelboat open (Star)","GORLA, Giorgio","Men","ITA","Italy","X","Bronze"
"3934",4051,"Los Angeles",1984,"Sailing","Sailing","single-handed dinghy (Finn)","BERTRAND, John Joseph","Men","USA","United States","M","Silver"
"3935",4052,"Los Angeles",1984,"Sailing","Sailing","470 - Two Person Dinghy","PEPONNET, Thierry","Men","FRA","France","M","Bronze"
"3936",4053,"Los Angeles",1984,"Sailing","Sailing","single-handed dinghy (Finn)","COUTTS, Russell","Men","NZL","New Zealand","M","Gold"
"3937",4054,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","GRAEL, Torben","Men","BRA","Brazil","X","Silver"
"3938",4055,"Los Angeles",1984,"Sailing","Sailing","470 - Two Person Dinghy","BENJAMIN, Stephen Delancey","Men","USA","United States","M","Silver"
"3939",4056,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","CALDER, Stephen","Men","CAN","Canada","X","Bronze"
"3940",4057,"Los Angeles",1984,"Sailing","Sailing","two-person keelboat open (Star)","BUCHAN, William E. Sr.","Men","USA","United States","X","Gold"
"3941",4058,"Los Angeles",1984,"Sailing","Sailing","Tornado - Multihull","CAIRNS, Christopher","Men","AUS","Australia","X","Bronze"
"3942",4059,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","TREVELYAN, Edward","Men","USA","United States","X","Gold"
"3943",4060,"Los Angeles",1984,"Sailing","Sailing","two-person keelboat open (Star)","MARCOUR, Michael","Men","FRG","West Germany","X","Silver"
"3944",4061,"Los Angeles",1984,"Sailing","Sailing","flying dutchman","BASTET, Evert","Men","CAN","Canada","X","Silver"
"3945",4062,"Los Angeles",1984,"Sailing","Sailing","two-person keelboat open (Star)","GRIESE, Joachim","Men","FRG","West Germany","X","Silver"
"3946",4063,"Los Angeles",1984,"Sailing","Sailing","Tornado - Multihull","SELLERS, Rex Samuel","Men","NZL","New Zealand","X","Gold"
"3947",4064,"Los Angeles",1984,"Sailing","Sailing","flying dutchman","BUCHAN, William Carl Jr.","Men","USA","United States","X","Gold"
"3948",4065,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","HAINES, Robert Bentley Jr.","Men","USA","United States","X","Gold"
"3949",4066,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","KERR, John","Men","CAN","Canada","X","Bronze"
"3950",4067,"Los Angeles",1984,"Sailing","Sailing","flying dutchman","MCLAUGHLIN, Terence","Men","CAN","Canada","X","Silver"
"3951",4068,"Los Angeles",1984,"Sailing","Sailing","470 - Two Person Dinghy","MOLINA CARRASCO, Roberto","Men","ESP","Spain","M","Gold"
"3952",4069,"Los Angeles",1984,"Sailing","Sailing","fleet/match race keelboat open (Soling)","SENFFT, Ronaldo","Men","BRA","Brazil","X","Silver"
"3953",4070,"Los Angeles",1984,"Sailing","Sailing","board (windglider)","STEELE, Randal Scott","Men","USA","United States","M","Silver"
